idno,country,polnews,internet,trust1,trust2,trust3,polint,trustparl,trustlegal,trustpolice,trustpols,trustparties,trusteuparl,trustun,leftright,satlife,satecon,satgov,equality,happy,unsafe,badhealth,natattach,eurattach,relig,religatt,prayer,becomeold,gender,age,marital,domicile,education,working
42836,es,90,,7,10,7,2,6,6,8,6,6,8,8,5,8,6,5,1,9,2,2,6,6,8,2,1,65,1,71,,4,15,0
42867,es,,,6,8,8,4,3,4,3,4,5,5,5,7,8,6,6,8,8,8,3,9,9,8,7,2,65,2,90,6,4,3,0
42904,es,120,180,4,8,4,2,6,6,9,4,4,8,8,3,7,5,4,1,8,3,2,9,9,6,5,2,70,2,43,6,2,19,1
42906,es,150,,5,4,4,4,0,5,3,0,0,5,,,8,7,4,4,8,1,3,9,7,8,3,3,0,1,79,,5,8,0
42922,es,60,,3,7,5,2,3,2,8,3,2,,5,5,9,2,0,2,9,3,3,7,7,5,3,3,80,2,40,,4,12,0
42959,es,60,360,4,5,8,3,5,4,7,0,0,5,6,5,9,5,4,2,8,3,1,6,6,0,7,7,65,2,22,6,4,16,1
42996,es,90,,6,1,4,1,6,6,2,7,5,6,6,2,8,2,2,1,8,3,1,7,3,0,7,7,68,2,18,6,1,12,1
43089,es,300,,7,8,9,3,2,4,10,0,0,3,5,6,7,8,0,3,7,2,2,8,6,7,5,2,70,2,80,,1,10,0
43195,es,60,60,6,6,6,2,,5,7,3,3,,,,8,3,3,1,8,1,2,8,6,5,5,6,70,1,70,,4,,0
43215,es,30,30,5,8,5,2,5,7,5,2,2,3,4,5,4,5,7,2,5,2,2,3,9,0,7,7,80,2,51,6,4,15,0
43485,es,15,420,5,5,4,3,5,6,7,4,3,7,7,,10,5,2,2,10,3,2,5,7,10,2,1,70,1,18,6,1,15,0
43557,es,60,,5,5,4,3,5,10,10,3,0,4,5,4,8,6,,1,10,3,2,10,10,3,7,6,65,1,68,,1,8,0
43560,es,60,150,5,10,1,2,4,5,6,2,2,3,3,5,6,5,3,2,6,2,3,6,5,3,5,4,70,2,55,6,3,15,1
43592,es,90,,3,5,4,2,0,2,7,5,4,2,2,,5,3,1,5,5,8,3,8,4,3,4,1,70,2,51,,3,16,0
43600,es,0,120,5,4,6,4,8,10,10,7,7,9,9,5,10,5,6,2,9,1,2,8,6,3,7,7,70,1,22,6,4,15,1
43656,es,90,5,6,6,4,2,3,7,9,2,2,5,2,5,7,4,0,1,8,2,4,9,6,5,6,7,70,1,78,5,1,21,0
43688,es,120,60,5,5,5,3,4,8,9,3,3,3,3,,6,5,5,1,8,2,1,7,7,8,7,1,40,1,37,6,3,8,1
43707,es,10,240,6,5,5,3,6,5,7,3,5,7,7,,6,6,2,2,8,2,3,9,0,5,7,6,60,2,31,6,2,17,0
43755,es,195,240,5,7,7,2,9,9,9,6,5,7,6,4,8,8,7,1,8,2,2,9,10,7,4,4,70,1,44,6,1,26,1
